generation,best_risk,feasible_fraction,target,k,mode
16,2600,0.87,99,3,GPR
17,2600,0.94,99,3,GPR
18,2600,0.94,99,3,GPR
19,2600,0.94,99,3,GPR
20,2600,0.89,99,3,GPR
21,2600,0.87,99,3,GPR
22,2600,0.95,99,3,GPR
23,2600,0.89,99,3,GPR
24,2600,0.95,99,3,GPR
25,2600,0.9,99,3,GPR
26,2600,0.92,99,3,GPR
27,2600,0.89,99,3,GPR
28,2600,0.95,99,3,GPR
29,2600,0.94,99,3,GPR
30,2600,0.9,99,3,GPR
31,2600,0.88,99,3,GPR
32,2600,0.93,99,3,GPR
33,2600,0.86,99,3,GPR
34,2600,0.91,99,3,GPR
35,2600,0.86,99,3,GPR
36,2600,0.91,99,3,GPR
37,2600,0.88,99,3,GPR
38,2600,0.94,99,3,GPR
39,2600,0.88,99,3,GPR
40,2600,0.97,99,3,GPR
41,2600,0.98,99,3,GPR
42,2600,0.89,99,3,GPR
43,2600,0.95,99,3,GPR
44,2600,0.94,99,3,GPR
45,2600,0.93,99,3,GPR
46,2600,0.93,99,3,GPR
47,2600,0.86,99,3,GPR
48,2600,0.9,99,3,GPR
49,2600,0.87,99,3,GPR
50,2600,0.91,99,3,GPR
0,2600,0.08,99,4,GPR
1,2600,0.19,99,4,GPR
2,2600,0.28,99,4,GPR
3,2600,0.42,99,4,GPR
4,2600,0.69,99,4,GPR
5,2600,0.79,99,4,GPR
6,2600,0.69,99,4,GPR
7,2600,0.8,99,4,GPR
8,2600,0.81,99,4,GPR
9,2600,0.88,99,4,GPR
10,2600,0.91,99,4,GPR
11,2600,0.89,99,4,GPR
12,2600,0.84,99,4,GPR
13,2600,0.92,99,4,GPR
14,2600,0.85,99,4,GPR
15,2600,0.87,99,4,GPR
16,2600,0.87,99,4,GPR
17,2600,0.89,99,4,GPR
18,2600,0.93,99,4,GPR
19,2600,0.85,99,4,GPR
20,2600,0.85,99,4,GPR
21,2600,0.82,99,4,GPR
22,2600,0.95,99,4,GPR
23,2600,0.83,99,4,GPR
24,2600,0.88,99,4,GPR
25,2600,0.82,99,4,GPR
26,2600,0.85,99,4,GPR
27,2600,0.89,99,4,GPR
28,2600,0.87,99,4,GPR
29,2600,0.83,99,4,GPR
30,2600,0.88,99,4,GPR
31,2600,0.83,99,4,GPR
32,2600,0.81,99,4,GPR
33,2600,0.87,99,4,GPR
34,2600,0.88,99,4,GPR
35,2600,0.89,99,4,GPR
36,2600,0.88,99,4,GPR
37,2600,0.86,99,4,GPR
38,2600,0.89,99,4,GPR
39,2600,0.89,99,4,GPR
40,2600,0.89,99,4,GPR
41,2600,0.86,99,4,GPR
42,2600,0.83,99,4,GPR
43,2600,0.89,99,4,GPR
44,2600,0.83,99,4,GPR
45,2600,0.8,99,4,GPR
46,2600,0.84,99,4,GPR
47,2600,0.88,99,4,GPR
48,2600,0.89,99,4,GPR
49,2600,0.88,99,4,GPR
50,2600,0.82,99,4,GPR
0,2600,0.02,99,5,GPR
1,2600,0.03,99,5,GPR
2,2600,0.07,99,5,GPR
3,2600,0.11,99,5,GPR
4,2600,0.14,99,5,GPR
5,2600,0.23,99,5,GPR
6,2600,0.31,99,5,GPR
7,2600,0.51,99,5,GPR
8,2600,0.81,99,5,GPR
9,2600,0.76,99,5,GPR
10,2600,0.79,99,5,GPR
11,2600,0.79,99,5,GPR
12,2600,0.76,99,5,GPR
13,2600,0.76,99,5,GPR
14,2600,0.77,99,5,GPR
15,2600,0.84,99,5,GPR
16,2600,0.86,99,5,GPR
17,2600,0.86,99,5,GPR
18,2600,0.82,99,5,GPR
19,2600,0.8,99,5,GPR
20,2600,0.88,99,5,GPR
21,2600,0.86,99,5,GPR
22,2600,0.83,99,5,GPR
23,2600,0.88,99,5,GPR
24,2600,0.91,99,5,GPR
25,2600,0.81,99,5,GPR
26,2600,0.86,99,5,GPR
27,2600,0.81,99,5,GPR
28,2600,0.87,99,5,GPR
29,2600,0.87,99,5,GPR
30,2600,0.88,99,5,GPR
31,2600,0.82,99,5,GPR
32,2600,0.87,99,5,GPR
33,2600,0.87,99,5,GPR
34,2600,0.9,99,5,GPR
35,2600,0.81,99,5,GPR
36,2600,0.84,99,5,GPR
37,2600,0.82,99,5,GPR
38,2600,0.86,99,5,GPR
39,2600,0.9,99,5,GPR
40,2600,0.77,99,5,GPR
41,2600,0.82,99,5,GPR
42,2600,0.85,99,5,GPR
43,2600,0.8,99,5,GPR
44,2600,0.86,99,5,GPR
45,2600,0.84,99,5,GPR
46,2600,0.82,99,5,GPR
47,2600,0.85,99,5,GPR
48,2600,0.87,99,5,GPR
49,2600,0.84,99,5,GPR
50,2600,0.82,99,5,GPR
0,2600,0.02,99,6,GPR
1,2600,0.02,99,6,GPR
2,2600,0.06,99,6,GPR
3,2600,0.05,99,6,GPR
4,2600,0.1,99,6,GPR
5,2600,0.14,99,6,GPR
6,2600,0.18,99,6,GPR
7,2600,0.28,99,6,GPR
8,2600,0.41,99,6,GPR
9,2600,0.57,99,6,GPR
10,2600,0.75,99,6,GPR
11,2600,0.78,99,6,GPR
12,2600,0.75,99,6,GPR
13,2600,0.73,99,6,GPR
14,2600,0.7,99,6,GPR
15,2600,0.73,99,6,GPR
16,2600,0.67,99,6,GPR
17,2600,0.77,99,6,GPR
18,2600,0.79,99,6,GPR
19,2600,0.73,99,6,GPR
20,2600,0.64,99,6,GPR
21,2600,0.7,99,6,GPR
22,2600,0.77,99,6,GPR
23,2600,0.74,99,6,GPR
24,2600,0.72,99,6,GPR
25,2600,0.76,99,6,GPR
26,2600,0.8,99,6,GPR
27,2600,0.76,99,6,GPR
28,2600,0.84,99,6,GPR
29,2600,0.8,99,6,GPR
30,2600,0.86,99,6,GPR
31,2600,0.78,99,6,GPR
32,2600,0.82,99,6,GPR
33,2600,0.78,99,6,GPR
34,2600,0.78,99,6,GPR
35,2600,0.8,99,6,GPR
36,2600,0.83,99,6,GPR
37,2600,0.79,99,6,GPR
38,2600,0.84,99,6,GPR
39,2600,0.85,99,6,GPR
40,2600,0.83,99,6,GPR
41,2600,0.84,99,6,GPR
42,2600,0.82,99,6,GPR
43,2600,0.87,99,6,GPR
44,2600,0.81,99,6,GPR
45,2600,0.81,99,6,GPR
46,2600,0.76,99,6,GPR
47,2600,0.86,99,6,GPR
48,2600,0.84,99,6,GPR
49,2600,0.83,99,6,GPR
50,2600,0.81,99,6,GPR
