sigma_y,repeat,target,group,n_all,n_censored,observed_quantile,coverage_at_gpr_week,method
0.002,10,75,1,83,1,13.7142857143,0.566265060241,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,75,2,89,2,13.4285714286,0.662921348315,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,75,3,95,4,15.1428571429,0.705263157895,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,90,2,61,2,16.2857142857,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,90,3,67,4,23.4285714286,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,95,1,76,1,21.2857142857,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,95,2,102,2,18.8571428571,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,95,3,89,4,26.4285714286,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,99,2,134,3,inf,0.932835820896,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,50,3,140,7,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,75,3,95,5,16,0.684210526316,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,90,1,139,1,16.4285714286,0.877697841727,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,90,2,61,3,15.5714285714,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,90,3,67,4,23.4285714286,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,95,1,76,1,21.2857142857,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,95,2,102,2,16.5714285714,0.941176470588,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,95,3,89,5,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,99,2,134,4,inf,0.94776119403,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,11,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,50,2,62,1,12.5714285714,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,50,3,140,7,13.1428571429,0.185714285714,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,75,1,83,1,13.7142857143,0.566265060241,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,75,3,95,5,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,90,1,139,1,16.2857142857,0.877697841727,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,90,2,61,3,16.5714285714,0.83606557377,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,90,3,67,4,22,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,95,2,102,2,20.1428571429,0.911764705882,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,95,3,89,5,inf,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,99,2,134,4,inf,0.917910447761,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,12,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,50,3,140,7,13,0.2,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,75,3,95,5,15.5714285714,0.705263157895,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,90,1,139,1,16.2857142857,0.877697841727,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,90,2,61,3,15.1428571429,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,90,3,67,4,23.4285714286,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,95,2,102,2,16.4285714286,0.950980392157,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,95,3,89,5,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,99,2,134,4,inf,0.955223880597,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,13,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
