类别,校验项,数值,单位,结论
价格参数选择,2025-06-01价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.044732
价格参数选择,2025-06-02价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.047506
价格参数选择,2025-06-03价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.049447
价格参数选择,2025-06-04价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.050395
价格参数选择,2025-06-05价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.052058
价格参数选择,2025-06-06价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.054016
价格参数选择,2025-06-07价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.057125
价格参数选择,2025-06-08价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.059360
价格参数选择,2025-06-09价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.058996
价格参数选择,2025-06-10价格候选,水平1×形态7天,历史验证28天,加权MAE=0.059354
价格参数选择,2025-06-11价格候选,水平1×形态7天,历史验证28天,加权MAE=0.058189
价格参数选择,2025-06-12价格候选,水平1×形态7天,历史验证28天,加权MAE=0.057759
价格参数选择,2025-06-13价格候选,水平1×形态7天,历史验证28天,加权MAE=0.056559
价格参数选择,2025-06-14价格候选,水平1×形态7天,历史验证28天,加权MAE=0.055662
价格参数选择,2025-06-15价格候选,水平1×形态7天,历史验证28天,加权MAE=0.055198
价格参数选择,2025-06-16价格候选,水平1×形态7天,历史验证28天,加权MAE=0.054576
价格参数选择,2025-06-17价格候选,水平1×形态7天,历史验证28天,加权MAE=0.053763
价格参数选择,2025-06-18价格候选,水平1×形态7天,历史验证28天,加权MAE=0.053042
价格参数选择,2025-06-19价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051838
价格参数选择,2025-06-20价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050404
价格参数选择,2025-06-21价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050876
价格参数选择,2025-06-22价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051963
价格参数选择,2025-06-23价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051956
价格参数选择,2025-06-24价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050996
价格参数选择,2025-06-25价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051287
价格参数选择,2025-06-26价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050319
价格参数选择,2025-06-27价格候选,水平1×形态7天,历史验证28天,加权MAE=0.049041
价格参数选择,2025-06-28价格候选,水平1×形态7天,历史验证28天,加权MAE=0.049994
价格参数选择,2025-06-29价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050182
价格参数选择,2025-06-30价格候选,水平1×形态7天,历史验证28天,加权MAE=0.049716
价格参数选择,2025-07-01价格候选,水平1×形态7天,历史验证28天,加权MAE=0.048915
价格参数选择,2025-07-02价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050055
价格参数选择,2025-07-03价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051520
价格参数选择,2025-07-04价格候选,水平1×形态7天,历史验证28天,加权MAE=0.054953
价格参数选择,2025-07-05价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.059716
价格参数选择,2025-07-06价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.061800
价格参数选择,2025-07-07价格候选,水平0.5-0.3-0.2×形态7天,历史验证28天,加权MAE=0.064141
价格参数选择,2025-07-08价格候选,水平0.5-0.3-0.2×形态7天,历史验证28天,加权MAE=0.064603
价格参数选择,2025-07-09价格候选,水平1×形态7天,历史验证28天,加权MAE=0.062919
价格参数选择,2025-07-10价格候选,水平1×形态7天,历史验证28天,加权MAE=0.060609
价格参数选择,2025-07-11价格候选,水平1×形态7天,历史验证28天,加权MAE=0.059427
价格参数选择,2025-07-12价格候选,水平1×形态7天,历史验证28天,加权MAE=0.060188
价格参数选择,2025-07-13价格候选,水平1×形态7天,历史验证28天,加权MAE=0.060478
价格参数选择,2025-07-14价格候选,水平1×形态7天,历史验证28天,加权MAE=0.059920
价格参数选择,2025-07-15价格候选,水平1×形态7天,历史验证28天,加权MAE=0.058147
价格参数选择,2025-07-16价格候选,水平1×形态7天,历史验证28天,加权MAE=0.057305
价格参数选择,2025-07-17价格候选,水平1×形态7天,历史验证28天,加权MAE=0.056121
